date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:33	4657936/4657936	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2017:43:15%20GMT	https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi	D:/trom/h1/phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all75fc.html	(from )
11:11:33	137/137	---MCZ	200	added ('200')	text/plain	date:Tue,%2001%20Jul%202025%2004:11:32%20GMT	https://phet.colorado.edu/robots.txt		(from )
11:11:56	76908/76908	---M--	200	added ('OK')	image/png	etag:%2212c6c-6373b3d80ca80%22	https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus-600.png	D:/trom/h1/phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus-600.png	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:10	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:08%20GMT	https://phet.colorado.edu/sims/html/build-a-nucleus/latest/CC0:%20http://creativecommons.org/publicdomain/zero/1.0/	D:/trom/h1/phet.colorado.edu/sims/html/build-a-nucleus/latest/CC0_%20http_/creativecommons.org/publicdomain/zero/1.0/index.html	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:11	2893293/2893293	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2017:43:11%20GMT	https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_en.html	D:/trom/h1/phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_en.html	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:12	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:11%20GMT	https://phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/compat.js	D:/trom/h1/phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/compat.3.delayed	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:13	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:12%20GMT	https://phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/format.js	D:/trom/h1/phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/format.js	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:14	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:14%20GMT	https://phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/index.js	D:/trom/h1/phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/index.js	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:16	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:15%20GMT	https://phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/lexer.js	D:/trom/h1/phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/lexer.js	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
11:12:17	42541/42541	---MCZ	404	error ('404')	text/html	date:Tue,%2001%20Jul%202025%2004:12:16%20GMT	https://phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/parser.js	D:/trom/h1/phet.colorado.edu/Users/chrisandrejewski/Desktop/Work/github-repos/himalaya/src/parser.js	(from https://phet.colorado.edu/sims/html/build-a-nucleus/latest/build-a-nucleus_all.html?locale=vi)
